channel,category,count
MaggieRogersVEVO,Music,3
MitskiVEVO,Music,2
Sir TerraAustralis,People & Blogs,1
ATK Productions,Gaming,1
World Table Tennis,Sports,1
Oscar,Gaming,4
Vivilly,Gaming,3
Steff The Druid,Gaming,1
Akıllı Bilge,People & Blogs,3
Edixor,Entertainment,1
Minç Master,Gaming,1
Vazho,Entertainment,1
NampoGaming,Gaming,3
CXLEB,Gaming,2
Reiterate,Film & Animation,1
Quantumara,People & Blogs,3
Selo Cicin,People & Blogs,1
Selo Cicin,Sports,1
Walking Streets,Gaming,1
Busra Tutkun,People & Blogs,1
Konaedits,People & Blogs,9
About Movies 🎬,Entertainment,1
Furkan Yurttepe,Entertainment,1
qNex,People & Blogs,1
Sambucha,Entertainment,1
Sambucha,Gaming,1
BBC,Entertainment,2
Deus,Entertainment,1
rainbolt clips,Entertainment,3
Cleo Abram,News & Politics,2
CyFy,People & Blogs,2
TwitchWest,Entertainment,9
KHALIL GAMING STUDIO,Gaming,1
Samed Güngör,Gaming,12
Mark kansour,People & Blogs,1
Oğuzhan Alpdoğan,People & Blogs,6
Viral Form,People & Blogs,1
NotVixios,Gaming,5
NotVixios,Entertainment,1
INfalmes0YT,Gaming,1
DexonN,Entertainment,4
DexonN,Gaming,4
63 saniye,Entertainment,2
Melih Kalkan TV,People & Blogs,1
Fluck TR,People & Blogs,1
uxrzy ,Music,1
More CaseOh Moment,People & Blogs,1
gryffinnn,Entertainment,1
SimplyPog,Gaming,1
Slipknot,Music,19
Movies For Series,Film & Animation,1
Crunch,Entertainment,8
Karışık videolar,People & Blogs,1
 The Honest Take,People & Blogs,1
Chadit,People & Blogs,2
Eğrisi Doğrusu,Entertainment,2
Dolas,Gaming,1
CaPPuCCinoG57,People & Blogs,1
myyxhurrem,People & Blogs,1
Music Terrain,Music,1
Bro Code,Education,1
Luke Alexander,People & Blogs,2
Got'Em Made,Gaming,2
Çağrı Ergün,Gaming,2
Can Aybalık,People & Blogs,1
BBC News Türkçe,News & Politics,9
Enver Talanöz,Gaming,22
GeoGlobeTales,Entertainment,5
Tüyler Diken Diken,Entertainment,1
Tüyler Diken Diken,People & Blogs,1
