video_id,category,subcategory,watched_on,channel,duration
ZhBqX0RFwv8,Education,exam_prep,2022-06-16T16:15:15.236Z,Eyüp B. Matematik Geometri,1.365
YhdOcleuuFI,Education,exam_prep,2022-06-16T16:08:46.423Z,Eyüp B. Matematik Geometri,1.0475
s9gX2J_h4B0,Education,exam_prep,2022-06-16T15:54:17.164Z,Eyüp B. Matematik Geometri,0.9813888888888889
xM2DHyZVElI,Education,exam_prep,2022-06-16T15:52:34.651Z,Mert Hoca,11.916666666666666
xgMu7kglj4A,Education,exam_prep,2022-06-16T15:48:50.483Z,Eyüp B. Matematik Geometri,1.2561111111111112
a-N4uW3LYBA,Education,exam_prep,2022-06-16T14:57:51.637Z,Eyüp B. Matematik Geometri,1.4416666666666667
8cW2luChRiA,Education,exam_prep,2022-06-16T14:51:23.122Z,Eyüp B. Matematik Geometri,1.478611111111111
bubhjM0Foy0,Education,exam_prep,2022-06-16T14:40:56.184Z,Eyüp B. Matematik Geometri,0.9011111111111111
WMiwwLPrHHk,Education,exam_prep,2022-06-16T14:38:04.944Z,Eyüp B. Matematik Geometri,0.4772222222222222
ggpwYddpqgA,Education,exam_prep,2022-06-16T14:33:54.023Z,Eyüp B. Matematik Geometri,0.4025
L3DebVi3NBU,Education,exam_prep,2022-06-16T14:27:34.718Z,Eyüp B. Matematik Geometri,0.8233333333333334
9KedBxY3iOo,Education,exam_prep,2022-06-16T13:57:05.738Z,Özcan Aykın FİZİK,0.34444444444444444
2x2VCEdrgIU,Education,financial_education,2022-06-16T13:52:58.563Z,Özcan Aykın FİZİK,0.3413888888888889
PhMDiorlZFw,Education,exam_prep,2021-06-25T09:08:56.712Z,VIP FİZİK,1.3530555555555555
meLyLr8N-Ro,Education,exam_prep,2022-06-14T12:18:11.447Z,Özcan Aykın FİZİK,0.32222222222222224
1eL5sn07Or0,Education,exam_prep,2022-06-14T12:18:42.379Z,Özcan Aykın FİZİK,0.20555555555555555
oev1QBqOstI,Education,exam_prep,2022-06-16T13:15:22.005Z,FİZİK EVİM,0.21138888888888888
3hrrI7fH-no,Education,exam_prep,2022-06-16T13:14:34.141Z,FİZİK EVİM,1.5969444444444445
JjvuH0wlUnw,Education,exam_prep,2022-06-16T12:56:39.360Z,VIP FİZİK,1.6488888888888888
8nF62SOw5Fk,Education,exam_prep,2022-06-01T19:48:36.289Z,VIP FİZİK,2.076388888888889
aI4TfK3d__Y,Education,exam_prep,2022-06-15T18:02:19.785Z,Özcan Aykın FİZİK,0.4066666666666667
zdUysNI7BNM,Education,exam_prep,2022-06-16T12:40:56.534Z,Ömer Faruk Doğru- Başarıya Giden Yol,0.8927777777777778
DdZV0wuYrks,Education,exam_prep,2022-06-13T13:36:58.660Z,Özcan Aykın FİZİK,0.5347222222222222
6zjXlWkjKw0,People & Blogs,other_people_blogs,2022-06-16T11:53:09.470Z,effclar,0.002777777777777778
1rbTicH7BNw,Education,exam_prep,2022-06-14T18:36:59.862Z,Kimya Dersleri - Sinan İHTİYAROĞLU,0.6461111111111111
CnrOVsCvYq0,Education,exam_prep,2022-06-14T18:36:32.790Z,Kimya Dersleri - Sinan İHTİYAROĞLU,0.7072222222222222
wZgU4iV7QGk,Education,exam_prep,2022-06-16T10:00:30.418Z,Eyüp B. Matematik Geometri,0.46055555555555555
BA7NF9fxCf8,Education,exam_prep,2022-06-16T09:57:49.189Z,Eyüp B. Matematik Geometri,0.5277777777777778
F09Sguh3xzo,Education,exam_prep,2022-06-16T09:52:13.544Z,Eyüp B. Matematik Geometri,0.49166666666666664
6ahsNJhS04I,Education,exam_prep,2022-06-16T09:50:05.748Z,Bilgi Matematik,0.0725
9lScbtTOMc0,Education,other_education,2022-06-16T09:49:44.454Z,ANIL HOCA İLE MATEMATİK,0.008333333333333333
pEu1Zca8BwU,Education,exam_prep,2022-06-16T09:47:02.116Z,Eyüp B. Matematik Geometri,0.6236111111111111
57IOqBOZBHQ,Education,exam_prep,2022-06-16T09:46:42.301Z,Eyüp B. Matematik Geometri,0.6419444444444444
mDVu_RyjsdA,Education,exam_prep,2022-06-16T09:46:41.634Z,Eyüp B. Matematik Geometri,0.4816666666666667
Zkc2yIjI_Hg,Education,exam_prep,2022-06-16T09:39:04.970Z,VIP FİZİK,0.11472222222222223
FZckRkqkZNo,Education,exam_prep,2022-06-16T09:32:47.680Z,Eyüp B. Matematik Geometri,0.4488888888888889
AYRUFsJGZwA,Education,exam_prep,2022-06-13T19:54:41.255Z,Eyüp B. Matematik Geometri,0.625
